0             //load
0             //load
3             //shift up
4             //shift down
2             //shift left
1             //shift right
2             //shift left
4             //shift down
4             //shift down
2             //shift left
2             //shift left
0             //load
1             //shift right
1             //shift right
3             //shift up
3             //shift up
1             //shift right
3             //shift up
4             //shift down
4             //shift down
4             //shift down
1             //shift right
1             //shift right
3             //shift up
3             //shift up
3             //shift up
2             //shift left
1             //shift right
2             //shift left
2             //shift left
